code,name,industry,region,list_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,volume,amount,turnover_rate,turnover_rate_free,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dividend_yield,dividend_yield_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_up,limit_down,adj_factor
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250908,62.89,63.15,61.59,62.99,62.92,0.07,0.1113,22930.97,143195.646,5.6653,5.6653,0.49,59.5846,61.3181,8.2001,11.224,10.2583,,,20237.9856,4047.6,4047.6,1274790.7129,254958.324,75.5,50.34,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250905,60.8,63.07,60.3,62.92,60.5,2.42,4.0,36411.8,225740.88,8.9959,8.9959,0.79,59.5184,61.25,8.191,11.2115,10.2469,,,20237.9856,4047.6,4047.6,1273374.054,254674.992,72.6,48.4,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250904,63.7,65.0,59.78,60.5,64.55,-4.05,-6.2742,51308.05,318033.131,12.6762,12.6762,1.2,57.2293,58.8942,7.8759,10.7803,9.8528,,,20237.9856,4047.6,4047.6,1224398.1288,244879.8,77.46,51.64,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250903,63.25,67.68,62.91,64.55,62.8,1.75,2.7866,65097.03,426843.663,16.0829,16.0829,1.74,61.0603,62.8367,8.4032,11.502,10.5124,,,20237.9856,4047.6,4047.6,1306361.9705,261272.58,75.36,50.24,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250902,65.33,65.79,62.37,62.8,65.33,-2.53,-3.8726,34948.73,221882.568,8.6344,8.6344,0.95,59.4049,61.1332,8.1754,11.1901,10.2274,,,20237.9856,4047.6,4047.6,1270945.4957,254189.28,78.4,52.26,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250901,65.01,67.65,63.95,65.33,64.12,1.21,1.8871,45739.38,299205.863,11.3004,11.3004,1.24,61.7981,63.596,8.5047,11.6409,10.6394,,,20237.9856,4047.6,4047.6,1322147.5992,264429.708,76.94,51.3,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250829,64.91,64.91,63.5,64.12,65.54,-1.42,-2.1666,33315.44,213221.429,8.2309,8.2309,0.84,60.6536,62.4181,8.3472,11.4253,10.4423,,,20237.9856,4047.6,4047.6,1297659.6367,259532.112,78.65,52.43,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250828,63.81,65.57,63.41,65.54,63.78,1.76,2.7595,34764.81,225209.021,8.589,8.589,0.88,61.9968,63.42,8.9195,11.6784,10.8785,,,20237.9856,4047.6,4047.6,1326397.5762,265279.704,76.54,51.02,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250827,65.15,67.2,63.78,63.78,65.57,-1.79,-2.7299,38420.84,251960.106,9.4923,9.4923,0.91,60.3319,61.7169,8.68,11.3647,10.5863,,,20237.9856,4047.6,4047.6,1290778.7216,258155.928,78.68,52.46,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250826,66.01,67.37,64.96,65.57,66.83,-1.26,-1.8854,31092.39,204856.931,7.6817,7.6817,0.75,62.0252,63.449,8.9236,11.6837,10.8835,,,20237.9856,4047.6,4047.6,1327004.7158,265401.132,80.2,53.46,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250825,67.46,69.0,65.9,66.83,67.46,-0.63,-0.9339,46178.74,309121.632,11.4089,11.4089,1.11,63.217,64.6682,9.0951,11.9082,11.0926,,,20237.9856,4047.6,4047.6,1352504.5776,270501.108,80.95,53.97,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250822,64.83,67.6,64.73,67.46,64.84,2.62,4.0407,48290.99,321592.114,11.9308,11.9308,1.3,63.813,65.2779,9.1808,12.0205,11.1972,,,20237.9856,4047.6,4047.6,1365254.5086,273051.096,77.81,51.87,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250821,65.6,65.9,64.6,64.84,65.83,-0.99,-1.5039,34630.66,225824.535,8.5559,8.5559,0.95,61.3346,62.7426,8.8242,11.5536,10.7623,,,20237.9856,4047.6,4047.6,1312230.9863,262446.384,79.0,52.66,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250820,62.54,65.86,62.2,65.83,62.92,2.91,4.6249,51115.0,328312.457,12.6285,12.6285,1.63,62.2711,63.7006,8.959,11.73,10.9266,,,20237.9856,4047.6,4047.6,1332266.592,266453.508,75.5,50.34,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250819,63.44,63.87,62.51,62.92,63.94,-1.02,-1.5952,27968.27,176406.053,6.9098,6.9098,0.88,59.5184,60.8847,8.5629,11.2115,10.4436,,,20237.9856,4047.6,4047.6,1273374.054,254674.992,76.73,51.15,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250818,62.18,64.14,61.61,63.94,61.68,2.26,3.6641,46409.91,293277.49,11.466,11.466,1.81,60.4833,61.8717,8.7018,11.3933,10.6129,,,20237.9856,4047.6,4047.6,1294016.7993,258803.544,74.02,49.34,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250815,60.22,61.71,60.21,61.68,60.28,1.4,2.3225,26040.07,159192.023,6.4335,6.4335,1.08,58.3455,59.6848,8.3942,10.9906,10.2378,,,20237.9856,4047.6,4047.6,1248278.9518,249655.968,72.34,48.22,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250814,61.3,62.38,60.24,60.28,61.46,-1.18,-1.9199,31159.86,191114.573,7.6984,7.6984,1.34,57.0212,58.3301,8.2037,10.7411,10.0054,,,20237.9856,4047.6,4047.6,1219945.772,243989.328,73.75,49.17,1.0033
688605,先锋精科,半导体,江苏,20241212,688605.SH,20250813,61.3,61.7,60.88,61.46,61.22,0.24,0.392,24898.48,152500.073,6.1514,6.1514,1.11,58.1374,59.4719,8.3642,10.9514,10.2013,,,20237.9856,4047.6,4047.6,1243826.595,248765.496,73.46,48.98,1.0033
