code,name,industry,region,list_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,volume,amount,turnover_rate,turnover_rate_free,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dividend_yield,dividend_yield_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_up,limit_down,adj_factor
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250908,84.0,84.8,83.45,84.08,84.52,-0.44,-0.5206,18889.73,158699.373,6.5175,6.5175,0.59,54.9855,49.0807,6.4338,8.2291,7.5396,,0.4757,11593.188,2898.297,2898.297,974755.247,243688.8118,101.42,67.62,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250905,81.73,84.52,81.73,84.52,82.15,2.37,2.885,21471.62,179641.86,7.4084,7.4084,0.59,55.2732,49.3375,6.4675,8.2721,7.5791,,0.4733,11593.188,2898.297,2898.297,979856.2498,244964.0624,98.58,65.72,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250904,84.0,86.2,80.41,82.15,83.99,-1.84,-2.1907,30497.77,254770.907,10.5227,10.5227,0.74,53.7233,47.9541,6.2862,8.0402,7.3666,,0.4869,11593.188,2898.297,2898.297,952380.3942,238095.0986,100.79,67.19,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250903,88.02,88.02,83.1,83.99,87.35,-3.36,-3.8466,30159.66,257610.52,10.406,10.406,0.6,54.9266,49.0282,6.427,8.2203,7.5316,,0.4762,11593.188,2898.297,2898.297,973711.8601,243427.965,104.82,69.88,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250902,91.86,91.99,86.1,87.35,91.78,-4.43,-4.8268,42706.58,375516.876,14.7351,14.7351,0.8,57.1239,50.9895,6.6841,8.5491,7.8329,,0.4579,11593.188,2898.297,2898.297,1012664.9718,253166.243,110.14,73.42,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250901,90.28,93.2,89.28,91.78,90.28,1.5,1.6615,36254.9,330433.171,12.509,12.509,0.6,60.021,53.5755,7.023,8.9827,8.2301,,0.4358,11593.188,2898.297,2898.297,1064022.7946,266005.6987,108.34,72.22,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250829,92.33,93.49,90.25,90.28,92.38,-2.1,-2.2732,43198.37,394390.766,14.9047,14.9047,0.7,59.0401,52.6999,6.9083,8.8359,8.0956,,0.4431,11593.188,2898.297,2898.297,1046633.0126,261658.2532,110.86,73.9,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250828,91.3,93.56,89.96,92.38,91.3,1.08,1.1829,53411.53,491367.386,18.4286,18.4286,0.89,60.4134,53.9257,7.069,9.0414,8.2839,,0.433,11593.188,2898.297,2898.297,1070978.7074,267744.6769,109.56,73.04,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250827,91.48,95.54,90.7,91.3,91.32,-0.02,-0.0219,73779.01,684621.425,25.456,25.456,1.3,59.7071,53.2953,6.9863,8.9357,8.1871,,0.4381,11593.188,2898.297,2898.297,1058458.0644,264614.5161,109.58,73.06,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250826,93.0,93.3,91.02,91.32,95.16,-3.84,-4.0353,58722.87,538883.13,20.2612,20.2612,1.02,59.7202,53.3069,6.9878,8.9377,8.1889,,0.438,11593.188,2898.297,2898.297,1058689.9282,264672.482,114.19,76.13,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250825,92.22,96.55,91.89,95.16,91.18,3.98,4.365,73918.64,697832.771,25.5042,25.5042,1.33,62.2314,55.5338,7.453,9.3135,9.1065,,0.4203,11593.188,2898.297,2898.297,1103207.7701,275801.9425,109.42,72.94,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250822,90.6,94.49,90.6,91.18,90.25,0.93,1.0305,49011.86,453088.778,16.9106,16.9106,0.88,59.6286,53.2112,7.1413,8.924,8.7257,,0.4387,11593.188,2898.297,2898.297,1057066.8818,264266.7205,108.3,72.2,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250821,91.74,93.81,89.75,90.25,91.95,-1.7,-1.8488,46107.19,421177.137,15.9084,15.9084,0.83,59.0204,52.6684,7.0684,8.8329,8.6367,,0.4432,11593.188,2898.297,2898.297,1046285.217,261571.3043,110.34,73.56,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250820,91.7,94.09,90.85,91.95,91.28,0.67,0.734,56738.43,524900.36,19.5765,19.5765,1.08,60.1322,53.6605,7.2016,8.9993,8.7993,,0.435,11593.188,2898.297,2898.297,1065993.6366,266498.4092,109.54,73.02,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250819,90.01,93.82,89.92,91.28,90.56,0.72,0.7951,62151.26,572478.159,21.4441,21.4441,1.31,59.694,53.2695,7.1491,8.9338,8.7352,,0.4382,11593.188,2898.297,2898.297,1058226.2006,264556.5502,108.67,72.45,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250818,88.61,91.5,87.12,90.56,87.81,2.75,3.1318,63140.51,568637.618,21.7854,21.7854,1.47,59.2232,52.8494,7.0927,8.8633,8.6663,,0.4417,11593.188,2898.297,2898.297,1049879.1053,262469.7763,105.37,70.25,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250815,84.81,87.91,84.65,87.81,84.6,3.21,3.7943,49465.57,431233.55,17.0671,17.0671,1.12,57.4248,51.2445,6.8773,8.5941,8.4032,,0.4555,11593.188,2898.297,2898.297,1017997.8383,254499.4596,101.52,67.68,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250814,86.86,87.9,84.6,84.6,87.6,-3.0,-3.4247,44890.44,386160.967,15.4886,15.4886,0.83,55.3255,49.3712,6.6259,8.28,8.096,,0.4728,11593.188,2898.297,2898.297,980783.7048,245195.9262,105.12,70.08,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250813,86.1,87.82,85.93,87.6,86.21,1.39,1.6123,42134.76,366169.444,14.5378,14.5378,0.8,57.2874,51.1219,6.8609,8.5736,8.3831,,0.4566,11593.188,2898.297,2898.297,1015563.2688,253890.8172,103.45,68.97,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250812,87.13,88.31,85.92,86.21,87.82,-1.61,-1.8333,37725.41,326568.401,13.0164,13.0164,0.7,56.3784,50.3108,6.752,8.4375,8.25,,0.464,11593.188,2898.297,2898.297,999448.7375,249862.1844,105.38,70.26,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250811,86.6,87.97,85.5,87.82,86.86,0.96,1.1052,40604.81,353392.752,14.0099,14.0099,0.83,57.4313,51.2503,6.8781,8.5951,8.4041,,0.4555,11593.188,2898.297,2898.297,1018113.7702,254528.4425,104.23,69.49,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250808,88.8,88.8,86.7,86.86,90.3,-3.44,-3.8095,55244.34,483705.462,19.061,19.061,1.3,56.8035,50.6901,6.8029,8.5012,8.3122,,0.4605,11593.188,2898.297,2898.297,1006984.3097,251746.0774,108.36,72.24,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250807,85.87,93.97,85.4,90.3,85.75,4.55,5.3061,94826.05,840668.13,32.7179,32.7179,3.06,59.0531,52.6976,7.0723,8.8378,8.6414,,0.443,11593.188,2898.297,2898.297,1046864.8764,261716.2191,102.9,68.6,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250806,85.5,86.18,84.01,85.75,85.46,0.29,0.3393,35107.78,299652.942,12.1132,12.1132,1.03,56.0776,50.0423,6.716,8.3925,8.206,,0.4665,11593.188,2898.297,2898.297,994115.871,248528.9678,102.55,68.37,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250805,84.5,86.0,84.3,85.46,82.99,2.47,2.9763,43069.32,366824.291,14.8602,14.8602,1.36,55.8879,49.8731,6.6933,8.3641,8.1783,,0.4681,11593.188,2898.297,2898.297,990753.8465,247688.4616,99.59,66.39,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250804,82.08,82.99,81.72,82.99,82.21,0.78,0.9488,17318.42,142806.746,5.9754,5.9754,0.5,54.2726,48.4316,6.4998,8.1224,7.9419,,0.482,11593.188,2898.297,2898.297,962118.6721,240529.668,98.65,65.77,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250801,83.0,83.59,82.05,82.21,83.2,-0.99,-1.1899,21603.74,178606.036,7.4539,7.4539,0.51,53.7625,47.9764,6.4387,8.0461,7.8673,,0.4866,11593.188,2898.297,2898.297,953075.9855,238268.9964,99.84,66.56,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250731,84.2,85.29,82.55,83.2,84.85,-1.65,-1.9446,37721.98,317354.293,13.0152,13.0152,0.74,54.41,48.5542,6.5163,8.1429,7.962,,0.4808,11593.188,2898.297,2898.297,964553.2416,241138.3104,101.82,67.88,1.0059
301622,英思特,矿物制品,内蒙,20241204,301622.SZ,20250730,85.5,87.99,83.69,84.85,85.46,-0.61,-0.7138,50113.18,429751.609,17.2906,17.2906,1.08,55.489,49.5171,6.6455,8.3044,8.1199,,0.4714,11593.188,2898.297,2898.297,983682.0018,245920.5005,102.55,68.37,1.0059
