code,name,industry,region,list_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,volume,amount,turnover_rate,turnover_rate_free,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dividend_yield,dividend_yield_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_up,limit_down
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250908,30.96,31.9,30.44,31.66,31.18,0.48,1.5394,50674.27,157335.512,6.9528,6.9528,0.72,71.4701,63.832,3.9874,10.0242,8.7821,,,36000.0,7288.3564,7288.3564,1139760.0,230749.3636,37.42,24.94
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250905,30.56,31.27,30.5,31.18,30.3,0.88,2.9043,45939.09,142006.111,6.3031,6.3031,0.59,70.3865,62.8642,3.927,9.8723,8.6489,,,36000.0,7288.3564,7288.3564,1122480.0,227250.9526,36.36,24.24
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250904,32.34,32.8,29.95,30.3,32.38,-2.08,-6.4237,72888.71,228457.016,10.0007,10.0007,0.87,68.4,61.09,3.8161,9.5936,8.4048,,,36000.0,7288.3564,7288.3564,1090800.0,220837.1989,38.86,25.9
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250903,33.17,33.76,32.34,32.38,33.2,-0.82,-2.4699,68157.46,223895.668,9.3516,9.3516,0.77,73.0954,65.2836,4.0781,10.2522,8.9818,,,36000.0,7288.3564,7288.3564,1165680.0,235996.9802,39.84,26.56
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250902,34.16,34.61,32.94,33.2,34.33,-1.13,-3.2916,78865.85,264775.894,10.8208,10.8208,0.9,74.9465,66.9369,4.1814,10.5118,9.2093,,,36000.0,7288.3564,7288.3564,1195200.0,241973.4325,41.2,27.46
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250901,34.6,36.18,33.66,34.33,33.71,0.62,1.8392,86661.64,300224.785,11.8904,11.8904,0.89,77.4974,69.2151,4.3237,10.8696,9.5227,,,36000.0,7288.3564,7288.3564,1235880.0,250209.2752,40.45,26.97
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250829,34.9,34.9,33.42,33.71,34.83,-1.12,-3.2156,83029.97,281168.003,11.3921,11.3921,0.82,76.0978,67.9651,4.2456,10.6733,9.3507,,,36000.0,7288.3564,7288.3564,1213560.0,245690.4942,41.8,27.86
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250828,32.89,34.93,32.89,34.83,33.19,1.64,4.9412,100477.71,343317.658,13.7861,13.7861,1.03,78.6261,70.2232,4.3867,11.0279,9.6614,,,36000.0,7288.3564,7288.3564,1253880.0,253853.4534,39.83,26.55
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250827,34.6,35.3,33.0,33.19,34.81,-1.62,-4.6538,95771.19,328276.867,13.1403,13.1403,1.0,74.9239,66.9167,4.1801,10.5087,9.2065,,,36000.0,7288.3564,7288.3564,1194840.0,241900.5489,41.77,27.85
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250826,34.5,35.9,34.36,34.81,34.62,0.19,0.5488,73881.08,258449.77,10.1369,10.1369,0.72,78.581,70.1829,4.3841,11.0216,9.6558,,,36000.0,7288.3564,7288.3564,1253160.0,253707.6863,41.54,27.7
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250825,34.88,36.34,34.43,34.62,34.76,-0.14,-0.4028,133152.98,467551.712,18.2693,18.2693,1.35,78.152,69.7998,4.3602,10.9614,9.6031,,,36000.0,7288.3564,7288.3564,1246320.0,252322.8986,41.71,27.81
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250822,33.43,35.27,33.4,34.76,33.39,1.37,4.103,102363.49,353392.944,14.0448,14.0448,1.09,78.4681,70.0821,4.3778,11.0058,9.642,,,36000.0,7288.3564,7288.3564,1251360.0,253343.2685,40.07,26.71
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250821,34.0,34.77,33.31,33.39,34.2,-0.81,-2.3684,83956.77,284600.069,11.5193,11.5193,0.87,75.3754,67.3199,4.2053,10.572,9.262,,,36000.0,7288.3564,7288.3564,1202040.0,243358.2202,41.04,27.36
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250820,32.78,34.55,32.45,34.2,32.88,1.32,4.0146,85093.41,284605.301,11.6753,11.6753,0.76,77.2039,68.953,4.3073,10.8285,9.4866,,,36000.0,7288.3564,7288.3564,1231200.0,249261.7889,39.46,26.3
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250819,34.08,34.1,32.3,32.88,34.03,-1.15,-3.3794,105623.47,348703.615,14.4921,14.4921,1.04,74.2241,66.2917,4.1411,10.4105,9.1205,,,36000.0,7288.3564,7288.3564,1183680.0,239641.1584,40.84,27.22
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250818,34.2,34.88,33.56,34.03,34.09,-0.06,-0.176,116213.29,396912.008,15.9451,15.9451,1.29,76.8202,72.5096,4.3642,10.7746,9.9762,,,36000.0,7288.3564,7288.3564,1225080.0,248022.7683,40.91,27.27
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250815,32.5,34.33,32.5,34.09,32.57,1.52,4.6669,77166.14,259877.077,10.5876,10.5876,0.92,76.9556,72.6374,4.3719,10.7936,9.9938,,,36000.0,7288.3564,7288.3564,1227240.0,248460.0697,39.08,26.06
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250814,33.8,34.35,32.47,32.57,33.7,-1.13,-3.3531,98145.4,327662.497,13.4661,13.4661,1.28,73.5243,69.3987,4.1769,10.3124,9.5482,,,36000.0,7288.3564,7288.3564,1172520.0,237381.7679,40.44,26.96
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250813,30.8,35.74,30.61,33.7,30.91,2.79,9.0262,164432.94,547221.957,22.561,22.561,3.12,76.0752,71.8064,4.3219,10.6701,9.8795,,,36000.0,7288.3564,7288.3564,1213200.0,245617.6107,37.09,24.73
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250812,30.71,31.35,30.2,30.91,30.9,0.01,0.0324,53991.8,165707.778,7.408,7.408,0.98,69.777,65.8616,3.964,9.7868,9.0616,,,36000.0,7288.3564,7288.3564,1112760.0,225283.0963,37.08,24.72
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250811,30.13,31.2,30.11,30.9,30.02,0.88,2.9314,55101.73,169142.615,7.5602,7.5602,0.92,69.7544,65.8403,3.9628,9.7836,9.0586,,,36000.0,7288.3564,7288.3564,1112400.0,225210.2128,36.02,24.02
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250808,30.34,30.34,29.71,30.02,30.12,-0.1,-0.332,45587.63,136809.413,6.2549,6.2549,0.66,67.7679,63.9653,3.8499,9.505,8.8006,,,36000.0,7288.3564,7288.3564,1080720.0,218796.4591,36.14,24.1
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250807,30.39,31.08,30.01,30.12,30.18,-0.06,-0.1988,63585.63,193247.533,8.7243,8.7243,0.92,67.9936,64.1783,3.8627,9.5366,8.83,,,36000.0,7288.3564,7288.3564,1084320.0,219525.2948,36.22,24.14
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250806,30.12,30.4,29.96,30.18,30.39,-0.21,-0.691,45391.1,136906.411,6.2279,6.2279,0.62,68.1291,64.3062,3.8704,9.5556,8.8475,,,36000.0,7288.3564,7288.3564,1086480.0,219962.5962,36.47,24.31
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250805,29.62,30.6,29.4,30.39,29.56,0.83,2.8078,66071.65,198208.285,9.0654,9.0654,0.96,68.6031,64.7536,3.8974,9.6221,8.9091,,,36000.0,7288.3564,7288.3564,1094040.0,221493.151,35.47,23.65
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250804,28.55,29.8,28.39,29.56,28.77,0.79,2.7459,79232.37,231571.43,10.8711,10.8711,1.29,66.7295,62.9851,3.7909,9.3593,8.6658,,,36000.0,7288.3564,7288.3564,1064160.0,215443.8152,34.52,23.02
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250801,29.17,29.89,28.33,28.77,28.98,-0.21,-0.7246,93210.29,270642.123,12.7889,12.7889,1.73,64.9461,61.3018,3.6896,9.1092,8.4342,,,36000.0,7288.3564,7288.3564,1035720.0,209686.0136,34.78,23.18
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250731,28.77,29.26,28.62,28.98,28.84,0.14,0.4854,60829.88,175816.335,8.3462,8.3462,1.08,65.4202,61.7493,3.7165,9.1757,8.4958,,,36000.0,7288.3564,7288.3564,1043280.0,211216.5685,34.61,23.07
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250730,28.67,29.57,28.55,28.84,28.81,0.03,0.1041,67231.91,194375.982,9.2246,9.2246,1.18,65.1041,61.451,3.6986,9.1314,8.4547,,,36000.0,7288.3564,7288.3564,1038240.0,210196.1986,34.57,23.05
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250729,28.8,29.09,28.63,28.81,28.92,-0.11,-0.3804,41986.74,121082.799,5.7608,5.7608,0.65,65.0364,61.3871,3.6947,9.1219,8.4459,,,36000.0,7288.3564,7288.3564,1037160.0,209977.5479,34.7,23.14
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250728,28.75,29.06,28.6,28.92,28.8,0.12,0.4167,44568.76,128349.678,6.1151,6.1151,0.7,65.2847,61.6214,3.7088,9.1567,8.4782,,,36000.0,7288.3564,7288.3564,1041120.0,210779.2671,34.56,23.04
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250725,28.7,29.0,28.53,28.8,28.6,0.2,0.6993,54087.41,155551.85,7.4211,7.4211,0.94,65.0138,61.3657,3.6935,9.1187,8.443,,,36000.0,7288.3564,7288.3564,1036800.0,209904.6643,34.32,22.88
688545,兴福电子,元器件,湖北,20250122,688545.SH,20250724,28.51,29.33,28.43,28.6,28.59,0.01,0.035,73265.58,211294.498,10.0524,10.0524,1.47,64.5624,60.9396,3.6678,9.0554,8.3844,,,36000.0,7288.3564,7288.3564,1029600.0,208446.993,34.31,22.87
